Time,X,Y,Z
1750694110.5904272,-0.006957822694893024,0.0023959871343200187,-0.011585712848745891
1750694110.6020002,-0.014889837423371471,0.007718896593961625,-0.004996812597544344
1750694110.6128752,-0.02043241853617036,0.009723481320614916,-0.0006389994540705781
1750694110.6256008,-0.030514547963461067,0.011419287505446744,-0.00394855091984822
1750694110.638354,-0.04458489357968759,0.02841314838797367,-0.006278936731209346
1750694110.6512072,-0.0503826316154462,0.03468533645434337,-0.004916567967295456
1750694110.6638005,-0.04809791062942443,0.031338720666318216,-0.005343346545318652
1750694110.6744113,-0.03942319505790742,0.028457197041043145,-0.0064070554928378045
1750694110.6855886,-0.04143831006358582,0.02413828398821395,-0.0013146742244062497
1750694110.6989827,-0.048075025804862455,0.029946692945926615,0.0008550446107134519
1750694110.709281,-0.043654213874345524,0.029541017154496075,-0.001776840407349926
1750694110.722062,-0.04701920521987141,0.03058703163653073,-0.0018542709544047621
1750694110.7327685,-0.04852655148563984,0.032690169703728796,-0.0029482371619202453
1750694110.7457237,-0.04499853292930228,0.03441081318116119,-0.004548898694188253
1750694110.7570796,-0.04840932982906849,0.02980122370847906,-0.003268186539079954
1750694110.7687888,-0.04380164347063383,0.030931087549748004,-0.001712085516089119
1750694110.7810318,-0.04284570526164289,0.0339080532983191,-0.003017955411968979
1750694110.791321,-0.05111672370933785,0.032745881561153586,-0.004386511132672688
1750694110.8031611,-0.04554066246452444,0.030466722580824286,-0.0015016922862407854
1750694110.8153303,-0.042808072625949975,0.031079716392822723,-0.0035400382703811256
1750694110.8252466,-0.043663141015818835,0.03216330263116274,-0.006064304985195664
1750694110.838564,-0.043564890918984876,0.03324767496349387,-0.004437653510652563
1750694110.8499632,-0.05940372512673374,0.034449931839072155,-0.0059397863911002735
1750694110.862845,-0.0743318159423349,0.041206596522488315,-0.0007707683649882459
1750694110.8745577,-0.08402111654607083,0.05190106962103793,-0.0028764895234605022
1750694110.88517,-0.09748004020588698,0.05467858504628368,-0.002097162970268258
1750694110.8985717,-0.10893556662538505,0.06506370606439085,-0.0037811538175880548
1750694110.9086192,-0.11882122576104573,0.06340510293513675,-0.0033746164050691223
1750694110.920046,-0.1247284620953998,0.06667523019700317,-0.004305997025516307
1750694110.9331806,-0.13265179141916608,0.07261110580053834,-0.005583640528796025
1750694110.9446077,-0.14824463315296987,0.08783320205784707,-0.00447282547911684
1750694110.959424,-0.1666033043540885,0.09113004638176077,-0.0044525430824069534
1750694110.9691353,-0.16958725923560622,0.09434465850385258,-0.005112707327896485
1750694110.9823267,-0.18078200866701483,0.09623132619980432,-0.003860808841670877
1750694110.9926932,-0.19501375886809683,0.10342236151235322,-0.004701806396227043
1750694111.0033238,-0.2120669523704595,0.11292583529263979,-0.0030229004486946012
1750694111.0162015,-0.22552980195652195,0.12306212431956569,-0.0017644482076642851
1750694111.029124,-0.2353136352778345,0.129131538001488,-0.0020744182210218304
1750694111.0392082,-0.24576372542011535,0.13210194657106922,-0.004544730044319101
