scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,-0.012507772639379404,-0.006225565002289041,0.0,-0.0030241974771269852,-0.17327375185348756,0.0,True,1.0,0.0,0.0,True
1,cloud000001.pcd,0.02918595311880586,-0.016074386347093766,0.0,0.0030368383073896992,0.17399801807708232,0.0,True,1.0,0.0,0.0,True
2,cloud000002.pcd,0.007492956593315649,-0.0011321735411412882,0.0,0.0008998158464814303,0.051555650342377565,0.47812421681520834,True,1.0,0.0,0.0,True
3,cloud000003.pcd,0.05841355679053262,0.027244465392431354,0.0,-0.010801842869680571,-0.6189000073961785,0.32373729214168173,True,1.0,0.0,0.0,True
4,cloud000004.pcd,0.1434827666303472,0.02420096709131645,0.0,-0.007219745375428332,-0.4136609391711375,0.32444811185958033,True,1.0,0.0,0.0,True
5,cloud000005.pcd,0.22932903899940937,0.010123143420175873,0.0,-0.010032752955343973,-0.5748344012386133,0.32112735673647214,True,1.0,0.0,0.0,True
6,cloud000006.pcd,0.33730251534889777,-0.013986169812333795,0.0,-0.029912037016071924,-1.713833477660014,0.3239704266396434,True,1.0,0.0,0.0,True
7,cloud000007.pcd,0.4443133765226797,-0.032907035230454525,0.0,-0.04522644362131944,-2.591284341887967,0.32555411230035997,True,1.0,0.0,0.0,True
8,cloud000008.pcd,0.5909297863878505,-0.06370182409827935,0.0,-0.043574161360175674,-2.4966155417600966,0.3116984615367542,True,1.0,0.0,0.0,True
9,cloud000009.pcd,0.6880184597206094,-0.06748832313413743,0.0,-0.04451392266768233,-2.5504598984299243,0.32178515571671223,True,1.0,0.0,0.0,True
10,cloud000010.pcd,0.7853314206786021,-0.06531506495554142,0.0,-0.05271765803123754,-3.0204993110038596,0.32541368736811743,True,1.0,0.0,0.0,True
11,cloud000011.pcd,0.8399178223308841,-0.07226535330354716,0.0,-0.05415183986733888,-3.10267187726679,0.31704390820721007,True,1.0,0.0,0.0,True
12,cloud000012.pcd,0.9700594556842916,-0.09114330517966909,0.0,-0.05378439821894623,-3.081619021596561,0.31701479257883025,True,1.0,0.0,0.0,True
13,cloud000013.pcd,1.082668925118175,-0.09358805532295478,0.0,-0.06544927831766759,-3.7499674197794417,0.3171235869549607,True,1.0,0.0,0.0,True
14,cloud000014.pcd,1.1916999776980568,-0.09060493019163926,0.0,-0.06682113970110826,-3.8285692871275705,0.3186874522058149,True,1.0,0.0,0.0,True
15,cloud000015.pcd,1.2776309927640859,-0.11594367114711213,0.0,-0.06989700383713272,-4.004803320477426,0.3231400278952942,True,1.0,0.0,0.0,True
16,cloud000016.pcd,1.4199951811067668,-0.1027114819780601,0.0,-0.07661464000007163,-4.3896955209182815,0.31477947095916586,True,1.0,0.0,0.0,True
