scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,0.006186480406879073,0.009889010129277894,0.0,0.005277971999873072,0.30240551998094967,0.0,True,0.0,0.0,1.0,True
1,cloud000001.pcd,0.005705726562565964,0.013497334417761167,0.0,0.012079254474739431,0.6920903010670835,0.0,True,0.0,0.0,1.0,True
2,cloud000002.pcd,-0.028070756790188885,0.030574263738303055,0.0,0.018234782490741796,1.0447760770585561,0.2,True,0.0,0.0,1.0,True
3,cloud000003.pcd,-0.019153737286765025,0.02302954473738085,0.0,0.012393559537879848,0.7100986546646223,0.13333333333333333,True,0.0,0.0,1.0,True
4,cloud000004.pcd,-0.015281976597115,0.03178459907444363,0.0,0.010299346886007395,0.5901091083094308,0.13333333333333333,True,0.0,0.0,1.0,True
5,cloud000005.pcd,0.01640097824022193,0.0187081786645028,0.0,0.005450118544642761,0.31226879045401273,0.13333333333333333,True,0.0,0.0,1.0,True
6,cloud000006.pcd,0.007792068294968292,0.022037121312994058,0.0,0.0047452105718029216,0.2718805386651675,0.13333333333333333,True,0.0,0.0,1.0,True
7,cloud000007.pcd,-0.005970220159245292,0.025946353378480128,0.0,0.004429893967779747,0.2538142280442418,0.13333333333333333,True,0.0,0.0,1.0,True
8,cloud000008.pcd,-0.005230746844679088,0.034130946071929416,0.0,0.00936152741489599,0.5363760106695562,0.13333333333333333,True,0.0,0.0,1.0,True
9,cloud000009.pcd,-0.02321625360349647,0.042143632984740595,0.0,0.019994910578274072,1.1456239878765886,0.13333333333333333,True,0.0,0.0,1.0,True
10,cloud000010.pcd,-0.058495550272270797,0.06602306155030943,0.0,0.07891759484194215,4.52164511376668,0.13333333333333333,True,0.0,0.0,1.0,True
11,cloud000011.pcd,-0.07409609345320692,0.09135214384778984,0.0,0.14739087980251803,8.444875351404292,0.13333333333333333,True,0.0,0.0,1.0,True
12,cloud000012.pcd,-0.05577834848446016,0.10867266406444218,0.0,0.23575694152457535,13.507877740270711,0.13333333333333333,True,0.0,0.0,1.0,True
13,cloud000013.pcd,-0.02063199742891999,0.13165566969322498,0.0,0.3008199637684622,17.235714317211222,0.13333333333333333,True,0.0,0.0,1.0,True
14,cloud000014.pcd,-0.05662267395422993,0.1630606666642844,0.0,0.38217161894955576,21.89682081549146,0.13333333333333333,True,0.0,0.0,1.0,True
15,cloud000015.pcd,-0.033936817952421164,0.1776665814969983,0.0,0.4284667036809134,24.54933378279879,0.13333333333333333,True,0.0,0.0,1.0,True
16,cloud000016.pcd,0.02365215073096691,0.1848786599537526,0.0,0.5086479069242571,29.143378324923056,0.13333333333333333,True,0.0,0.0,1.0,True
17,cloud000017.pcd,0.05481458473153385,0.22311277142519495,0.0,0.6149019493950484,35.2312865147032,0.13333333333333333,True,0.0,0.0,1.0,True
