scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,-0.012507772639379404,-0.006225565002289041,0.0,-0.0030241974771269852,-0.17327375185348756,0.0,True,0.0,0.0,1.0,True
1,cloud000001.pcd,0.02918595311880586,-0.016074386347093766,0.0,0.0030368383073896992,0.17399801807708232,0.0,True,0.0,0.0,1.0,True
2,cloud000002.pcd,0.007492956593315649,-0.0011321735411412882,0.0,0.0008998158464814303,0.051555650342377565,0.2,True,0.0,0.0,1.0,True
3,cloud000003.pcd,0.05841355679053262,0.027244465392431354,0.0,-0.010801842869680571,-0.6189000073961785,0.13333333333333333,True,0.0,0.0,1.0,True
4,cloud000004.pcd,0.1434827666303472,0.02420096709131645,0.0,-0.007219745375428332,-0.4136609391711375,0.13333333333333333,True,0.0,0.0,1.0,True
5,cloud000005.pcd,0.22932903899940937,0.010123143420175873,0.0,-0.010032752955343973,-0.5748344012386133,0.13333333333333333,True,0.0,0.0,1.0,True
6,cloud000006.pcd,0.33730251534889777,-0.013986169812333795,0.0,-0.029912037016071924,-1.713833477660014,0.13333333333333333,True,0.0,0.0,1.0,True
7,cloud000007.pcd,0.4443133765226797,-0.032907035230454525,0.0,-0.04522644362131944,-2.591284341887967,0.13333333333333333,True,0.0,0.0,1.0,True
8,cloud000008.pcd,0.5909297863878505,-0.06370182409827935,0.0,-0.043574161360175674,-2.4966155417600966,0.13333333333333333,True,0.0,0.0,1.0,True
9,cloud000009.pcd,0.6880184597206094,-0.06748832313413743,0.0,-0.04451392266768233,-2.5504598984299243,0.13333333333333333,True,0.0,0.0,1.0,True
10,cloud000010.pcd,0.7853314206786021,-0.06531506495554142,0.0,-0.05271765803123754,-3.0204993110038596,0.13333333333333333,True,0.0,0.0,1.0,True
11,cloud000011.pcd,0.8399178223308841,-0.07226535330354716,0.0,-0.05415183986733888,-3.10267187726679,0.13333333333333333,True,0.0,0.0,1.0,True
12,cloud000012.pcd,0.9700594556842916,-0.09114330517966909,0.0,-0.05378439821894623,-3.081619021596561,0.13333333333333333,True,0.0,0.0,1.0,True
13,cloud000013.pcd,1.082668925118175,-0.09358805532295478,0.0,-0.06544927831766759,-3.7499674197794417,0.13333333333333333,True,0.0,0.0,1.0,True
14,cloud000014.pcd,1.1962125876605008,-0.09161562223723622,0.0,-0.06557923776310608,-3.757413547510928,0.13333333333333333,True,0.0,0.0,1.0,True
15,cloud000015.pcd,1.28914889789616,-0.11823031457153521,0.0,-0.06821942068050096,-3.9086848858201915,0.13333333333333333,True,0.0,0.0,1.0,True
16,cloud000016.pcd,1.4314989403159406,-0.10475286754429226,0.0,-0.07493727687018216,-4.293589692864761,0.13333333333333333,True,0.0,0.0,1.0,True
17,cloud000017.pcd,1.5329505056515718,-0.1280713469756647,0.0,-0.08116717546998949,-4.650536589428182,0.13333333333333333,True,0.0,0.0,1.0,True
18,cloud000018.pcd,1.6522828150216295,-0.1475897827751029,0.0,-0.0778659484571896,-4.461390214380168,0.13333333333333333,True,0.0,0.0,1.0,True
19,cloud000019.pcd,1.770730786777696,-0.1706423826056351,0.0,-0.0759821652962357,-4.353457389739696,0.13333333333333333,True,0.0,0.0,1.0,True
20,cloud000020.pcd,1.9071186811827614,-0.18707291606582027,0.0,-0.07198343841470421,-4.124347216002433,0.13333333333333333,True,0.0,0.0,1.0,True
21,cloud000021.pcd,2.0106372682916867,-0.20471494175972096,0.0,-0.06396715040242124,-3.6650477455373025,0.13333333333333333,True,0.0,0.0,1.0,True
22,cloud000022.pcd,2.118119286348597,-0.23459440420420757,0.0,-0.06607760680107196,-3.785967990026368,0.13333333333333333,True,0.0,0.0,1.0,True
23,cloud000023.pcd,2.254914713069333,-0.25746517193875906,0.0,-0.06630942380567825,-3.799250126009673,0.13333333333333333,True,0.0,0.0,1.0,True
24,cloud000024.pcd,2.3432899059007286,-0.2891317575966601,0.0,-0.062442804793328976,-3.577709175617017,0.13333333333333333,True,0.0,0.0,1.0,True
25,cloud000025.pcd,2.4758103787057637,-0.3172661779512509,0.0,-0.06707314499583016,-3.8430081269300858,0.13333333333333333,True,0.0,0.0,1.0,True
26,cloud000026.pcd,2.6150270545155307,-0.32368502731082766,0.0,-0.06113782941068991,-3.5029395938233288,0.13333333333333333,True,0.0,0.0,1.0,True
27,cloud000027.pcd,2.7518660426495942,-0.3503398329907462,0.0,-0.05887151879798103,-3.3730895606494027,0.13333333333333333,True,0.0,0.0,1.0,True
28,cloud000028.pcd,2.878436428539695,-0.36472170512511043,0.0,-0.05988035273236445,-3.4308914873191503,0.13333333333333333,True,0.0,0.0,1.0,True
29,cloud000029.pcd,3.0313384791491553,-0.37999212516823316,0.0,-0.05810796271492456,-3.329341019668726,0.13333333333333333,True,0.0,0.0,1.0,True
30,cloud000030.pcd,3.145177900585465,-0.39051770308611183,0.0,-0.05036968097355467,-2.885970135205086,0.13333333333333333,True,0.0,0.0,1.0,True
31,cloud000031.pcd,3.246546589647052,-0.38383755730827623,0.0,-0.05182768817963679,-2.969507794613252,0.13333333333333333,True,0.0,0.0,1.0,True
32,cloud000032.pcd,3.3558370704251113,-0.40604704852572726,0.0,-0.05681901851521206,-3.2554899569973323,0.13333333333333333,True,0.0,0.0,1.0,True
33,cloud000033.pcd,3.4612778085934566,-0.41524114075341295,0.0,-0.05413955014409774,-3.1019677279936886,0.13333333333333333,True,0.0,0.0,1.0,True
34,cloud000034.pcd,3.536488931752129,-0.4310489062644245,0.0,-0.05123248967405463,-2.935405432270901,0.13333333333333333,True,0.0,0.0,1.0,True
35,cloud000035.pcd,3.543279386329488,-0.42298936729628,0.0,-0.027341393519367825,-1.5665464546661167,0.13333333333333333,True,0.0,0.0,1.0,True
