scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed
0,cloud000000.pcd,0.05044683240314349,0.028537680075758486,0.0,0.09342585553960774,5.352907219818445,0.0,True
1,cloud000001.pcd,0.02596459215034021,0.033751287810201896,0.0,0.056918921429261055,3.261213972333398,0.0,True
2,cloud000002.pcd,-0.05129855154135669,-0.01473033204684212,0.0,0.03488860064532894,1.9989695700947487,0.20100874564195653,True
3,cloud000003.pcd,-0.06502739281263256,-0.03190968900771739,0.0,-0.019629373721174074,-1.124680268708282,0.2684100185139632,True
4,cloud000004.pcd,-0.3266361081192104,0.08676339021586933,0.0,-0.16358489208183524,-9.372723908392198,0.2711179694497075,True
5,cloud000005.pcd,-0.4039031031924589,0.1519943068037274,0.0,-0.2219217076094704,-12.71517722835894,0.25820527589927106,True
6,cloud000006.pcd,-0.45634943767076525,0.19411372184678302,0.0,-0.2131969062892043,-12.215282935617523,0.2629865412519008,True
7,cloud000007.pcd,-0.5026451267944537,0.20557410618239427,0.0,-0.24705958025171926,-14.155471236697174,0.26529140315985655,True
8,cloud000008.pcd,-0.5396081909407603,0.234269757304715,0.0,-0.25167436339242005,-14.419878834027456,0.2642991537100055,True
9,cloud000009.pcd,-0.5920245146778998,0.2526626265721012,0.0,-0.15329036866488044,-8.782891164502093,0.2665404503057708,True
10,cloud000010.pcd,-0.6896563936840623,0.3350382457015121,0.0,-0.14235819275904363,-8.156523624203036,0.2664051231781171,True
11,cloud000011.pcd,-0.852448128528128,0.4997342357319018,0.0,-0.19688849431376318,-11.280879758864138,0.2656156557026235,True
12,cloud000012.pcd,-0.9225091423836809,0.5776895818496545,0.0,-0.15183013738543616,-8.699226075076947,0.26351180248573663,True
13,cloud000013.pcd,-0.9700481665028294,0.67487829571943,0.0,-0.08544485111069684,-4.895629349766634,0.2597088066713708,True
14,cloud000014.pcd,-1.0824925144696071,0.7342367512505501,0.0,-0.08048304646929849,-4.611338885046085,0.26381500582879575,True
15,cloud000015.pcd,-1.2347839673987813,0.8159412280241897,0.0,-0.16713542666620768,-9.576154555091975,0.2680955812438903,True
16,cloud000016.pcd,-1.2332496098694616,0.7671228435223434,0.0,-0.23393708646501268,-13.403607726032241,0.26825864416221595,True
17,cloud000017.pcd,-1.3288339891405938,0.8253583320805937,0.0,-0.23557477343565392,-13.49744027761355,0.24756221184888036,True
18,cloud000018.pcd,-1.4353924255362867,0.9275717222234422,0.0,-0.2036956622130946,-11.670901749932762,0.24253397576130317,True
19,cloud000019.pcd,-1.4956975656773641,1.023097685809358,0.0,-0.09885076424322034,-5.663731592779235,0.2569276431321222,True
20,cloud000020.pcd,-1.57342927176214,1.1387751919463809,0.0,-0.008448035467712127,-0.48403677747673335,0.26571123191839513,True
21,cloud000021.pcd,-1.6931595792341503,1.195789834352508,0.0,-0.004561266523234836,-0.26134132101566676,0.27033470764686235,True
22,cloud000022.pcd,-1.8183276972376694,1.2826781636750522,0.0,-0.02089683075175079,-1.1973002072745116,0.26858910867917385,True
23,cloud000023.pcd,-1.9199515201464574,1.339949444755544,0.0,-0.018081752781789067,-1.0360081205954492,0.26241787195872374,True
24,cloud000024.pcd,-2.024706903940561,1.428500022694824,0.0,-0.033922828997476936,-1.943634930699434,0.26449314656041184,True
25,cloud000025.pcd,-2.1199885149011983,1.519812440284193,0.0,0.03321718950018873,1.9032047656470867,0.2644723685899929,True
26,cloud000026.pcd,-2.2406939236850834,1.6324526573373475,0.0,0.11889852391342459,6.812383610574521,0.26736607465390894,True
27,cloud000027.pcd,-2.3440529611140923,1.7001742438442642,0.0,0.2732555909339712,15.656392088869833,0.2682463422092229,True
28,cloud000028.pcd,-2.4495598516775483,1.764890423240419,0.0,0.4088944488553393,23.427926185738837,0.26814952742950904,True
29,cloud000029.pcd,-2.555741694837977,1.8062979591410422,0.0,0.5218892516104383,29.902051490519217,0.26962000494086974,True
30,cloud000030.pcd,-2.6758825042855308,1.8387757810042396,0.0,0.5999669263750523,34.375572728726695,0.259597593906193,True
31,cloud000031.pcd,-2.827164298795394,1.8869026822999553,0.0,0.6888163994055143,39.466272545333595,0.2656252886344768,True
32,cloud000032.pcd,-2.9683840818034266,1.9343954661024263,0.0,0.7902305263287954,45.276874001041655,0.2655760448772161,True
33,cloud000033.pcd,-3.0818080267670864,1.9353916941264917,0.0,0.877200144357848,50.259866059971245,0.2683840859597025,True
34,cloud000034.pcd,-3.183299532949233,1.9022624123114071,0.0,0.9734391798039149,55.77395661544081,0.2698492002143021,True
35,cloud000035.pcd,-3.265815060703845,1.942280412463003,0.0,1.1181268002948213,64.06394661736032,0.26720926737467193,True
36,cloud000036.pcd,-3.327193940811293,2.0276613659598524,0.0,1.205332707358087,69.06047704069553,0.26750435778961246,True
37,cloud000037.pcd,-3.3624957702628007,2.0851323641594344,0.0,1.2086028813768142,69.24784421024194,0.26843057615456406,True
38,cloud000038.pcd,-3.373178341373222,2.0801772085266466,0.0,1.2116786624893015,69.4240734866935,0.2631193007906642,True
39,cloud000039.pcd,-3.366887357006966,2.0805638409633733,0.0,1.2114672932055863,69.41196291881793,0.26688352219839295,True
40,cloud000040.pcd,-3.374516786859018,2.0957317021947737,0.0,1.2119921456256502,69.44203474735481,0.27044101834474704,True
41,cloud000041.pcd,-3.384000172650313,2.091332008992885,0.0,1.2124861201400436,69.47033740221659,0.26875587546434226,True
42,cloud000042.pcd,-3.372318786183503,2.102274975638304,0.0,1.2110930769108195,69.39052190450276,0.2671148751904416,True
43,cloud000043.pcd,-3.355986344194881,2.0855553761456496,0.0,1.2065406433819965,69.12968667678736,0.27122421134972646,True
44,cloud000044.pcd,-3.3586891884000387,2.088995467457597,0.0,1.2118013404750647,69.43110241751691,0.2689903595601447,True
45,cloud000045.pcd,-3.3680428920080576,2.0825298668668695,0.0,1.216564564524505,69.70401505242505,0.2713709835253782,True
46,cloud000046.pcd,-3.3783093521548087,2.0855874811022534,0.0,1.2153070690494407,69.63196586894708,0.2708164706240997,True
47,cloud000047.pcd,-3.3608903663232104,2.0845950755830156,0.0,1.2159921859966196,69.67122017849331,0.2705510031902739,True
48,cloud000048.pcd,-3.370159955859986,2.085972575884809,0.0,1.2165869958649396,69.70530027356077,0.2692441524086128,True
