scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed
0,cloud000000.pcd,-0.01594626221670936,-0.006171416399033697,0.0,-0.002141367829596332,-0.12269133902095908,0.0,True
1,cloud000001.pcd,-0.0006315921473151187,-0.005780131843923054,0.0,-0.0006142362914190021,-0.035193147122076524,0.0,True
2,cloud000002.pcd,0.014905198797461851,-0.008720882657329516,0.0,-0.003571887457508211,-0.20465407621093468,0.20166236675403984,True
3,cloud000003.pcd,0.0009519738916509164,-0.0013822713309311185,0.0,-0.006213219578245582,-0.35599125902152523,0.27086915158844155,True
4,cloud000004.pcd,0.10715771675142358,-0.000651473075007698,0.0,-0.0038898938560805512,-0.22287450070728484,0.26897128054622754,True
5,cloud000005.pcd,0.22834977345571317,-0.008283642406143524,0.0,4.741573274415339e-05,0.0027167213687602507,0.2682412054912272,True
6,cloud000006.pcd,0.3802920507395173,0.0025278670381844483,0.0,-0.007094629888560108,-0.4064923498218638,0.26978902318719855,True
7,cloud000007.pcd,0.5145643887926845,0.01483520882906783,0.0,-0.006084958903239713,-0.34864246366618984,0.269065023111934,True
8,cloud000008.pcd,0.6726653655138455,0.0014030409162695892,0.0,-0.0016646687579203038,-0.09537849411611833,0.27055783008949763,True
9,cloud000009.pcd,0.8017688691995492,0.009092232908980114,0.0,-0.004081247099217396,-0.23383823393516673,0.27132613974018477,True
10,cloud000010.pcd,0.9392911825850562,0.023573904487560537,0.0,0.005996658723209396,0.34358323602020735,0.2710524810001183,True
11,cloud000011.pcd,1.0795480610863164,0.008923858869528399,0.0,0.011058673506671763,0.6336153189454302,0.27053876077360683,True
12,cloud000012.pcd,1.2135076652447323,0.02955224024324709,0.0,0.010888872152367857,0.6238864179882109,0.27075257068557124,True
13,cloud000013.pcd,1.3628537750520129,0.028705991786742113,0.0,0.011635573389941856,0.6666692474583964,0.26920757620243807,True
14,cloud000014.pcd,1.5200172760348694,0.041605872589165316,0.0,0.006858859867806659,0.3929837226969793,0.270758547507761,True
15,cloud000015.pcd,1.6570565582839234,0.03540546347920364,0.0,0.005121269334315056,0.29342711860602533,0.27081438907460526,True
16,cloud000016.pcd,1.7957335832108114,0.026420245322725536,0.0,0.00878882280657826,0.5035624537052574,0.27149792482569274,True
17,cloud000017.pcd,1.9335246526436778,0.03713546119274191,0.0,0.010483049159925876,0.6006344732919159,0.27209160302348645,True
18,cloud000018.pcd,2.0608649363217872,0.04048967095807929,0.0,0.011914560682336968,0.6826540418504186,0.2718528799015934,True
19,cloud000019.pcd,2.2177450021661564,0.03748281191534475,0.0,0.013379480181322956,0.7665877464687347,0.26956340347760427,True
20,cloud000020.pcd,2.3799045562658283,0.05024785333593348,0.0,0.01450000412447846,0.8307890392549021,0.26975886018273193,True
21,cloud000021.pcd,2.5129449794931817,0.06341929098561484,0.0,0.009507033368693183,0.5447128877161609,0.27090894076565697,True
22,cloud000022.pcd,2.66201940150935,0.06917796580294856,0.0,0.01137460372739944,0.6517167872137627,0.27143265332193073,True
23,cloud000023.pcd,2.7991015715547887,0.0764687216781489,0.0,0.016120198206245395,0.9236193221322213,0.27018270336994354,True
24,cloud000024.pcd,2.9583995842964863,0.0770723650345215,0.0,0.014777006557865856,0.8466601096028536,0.27158830716587073,True
25,cloud000025.pcd,3.0965605737967845,0.09613326810501564,0.0,0.011509694756907265,0.6594569330546383,0.2714234593585813,True
26,cloud000026.pcd,3.2546008890629032,0.1053554895282987,0.0,0.012822756457382789,0.7346898267321569,0.27221462278910147,True
27,cloud000027.pcd,3.4055176391234414,0.09690059578499835,0.0,0.012176096176115696,0.6976389218368096,0.2713798792627548,True
28,cloud000028.pcd,3.5373238192404344,0.10733724458589278,0.0,0.007851875576411252,0.4498793317902152,0.271972340167785,True
29,cloud000029.pcd,3.6709308998336008,0.11071734122159907,0.0,0.010517549013736431,0.602611169309079,0.2710771534248129,True
30,cloud000030.pcd,3.8040205954716977,0.0944198271983743,0.0,0.008788678911589545,0.5035542091297108,0.27125020374184644,True
31,cloud000031.pcd,3.91865608820764,0.0677756005018009,0.0,0.0038684226331772075,0.22164429025393861,0.2719133528051448,True
32,cloud000032.pcd,4.059478331492793,0.0627405883864474,0.0,-0.004335770225355489,-0.24842133485135534,0.2708688869043035,True
