scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed
0,cloud000000.pcd,-0.015906301307269912,-0.006180860273561175,0.0,-0.002151633994695563,-0.12327954695292952,0.0,True
1,cloud000001.pcd,-0.02404899893863644,0.007461507394751245,0.0,0.0020096033647520914,0.11514179129558418,0.0,True
2,cloud000002.pcd,-0.008506222202808287,0.004552577210040006,0.0,-0.0009520450772350454,-0.05454816483177459,0.20148051459639185,True
3,cloud000003.pcd,-0.022474712072545436,0.01187657263154817,0.0,-0.003606429403255957,-0.20663318391845037,0.27075367696605085,True
4,cloud000004.pcd,0.08373204394143148,0.012958787768227571,0.0,-0.0013473278063620682,-0.07719619692516594,0.2687963523904687,True
5,cloud000005.pcd,0.20493335201767404,0.005588978313967008,0.0,0.002587582042216257,0.14825753016283394,0.33329842191145953,True
6,cloud000006.pcd,0.35684877533615234,0.016812047583893222,0.0,-0.004569016169899736,-0.2617853430622832,0.33330744613597413,True
7,cloud000007.pcd,0.49108255140184787,0.02944181206271307,0.0,-0.003558344340572437,-0.20387811276906267,0.3333086676038314,True
8,cloud000008.pcd,0.6492232033845341,0.01645235272521745,0.0,0.0008818418951791257,0.050525818791581835,0.3333283992676858,True
9,cloud000009.pcd,0.778305046987256,0.024476097784889024,0.0,-0.0014574147546008087,-0.08350371443872091,0.33332563390921416,True
10,cloud000010.pcd,0.9157853376389611,0.03930111656476241,0.0,0.00863822032423405,0.4949335670827406,0.3333271248257487,True
11,cloud000011.pcd,1.0561023270638161,0.025140230001611422,0.0,0.013659710648510317,0.7826437695295498,0.3333262371580716,True
12,cloud000012.pcd,1.189994643061599,0.046053058061344056,0.0,0.013492993645083044,0.7730915888600991,0.33332434738769556,True
13,cloud000013.pcd,1.3393565556970253,0.045676651153216286,0.0,0.014195440081291784,0.8133388049888655,0.3333271133137587,True
14,cloud000014.pcd,1.4964417232658787,0.05902121601208389,0.0,0.009481738056364092,0.5432635730782388,0.33332784462914844,True
